epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.85,0.99422,1.50623,1.5483,0.4435,0.48261,0.42968,0.12496,2.2819,2.11761,3.08193,0.000554432,0.000554432,0.000554432
2,371.217,1.11565,1.29683,1.63525,0.57875,0.56861,0.61981,0.34357,1.44586,1.69606,2.34961,0.00108262,0.00108262,0.00108262
3,552.463,1.06692,1.25029,1.59547,0.41357,0.60663,0.51175,0.24096,1.48564,1.87297,2.26899,0.00158331,0.00158331,0.00158331
4,729.28,1.00391,1.17119,1.54517,0.79177,0.7341,0.82052,0.47316,1.29798,1.05867,2.13437,0.00154323,0.00154323,0.00154323
5,903.872,0.94764,1.08967,1.49385,0.80674,0.75507,0.83587,0.5584,1.16091,1.00392,1.94681,0.00150197,0.00150197,0.00150197
6,1083.16,0.91287,1.03277,1.47277,0.84852,0.74311,0.83104,0.51771,1.25076,0.94366,2.15297,0.00146071,0.00146071,0.00146071
7,1258.82,0.8903,1.0078,1.45117,0.80625,0.75631,0.85168,0.58805,1.03997,1.02264,1.78833,0.00141945,0.00141945,0.00141945
8,1433.55,0.86412,0.97798,1.43095,0.8781,0.83365,0.89891,0.62199,1.02657,0.7992,1.76309,0.00137819,0.00137819,0.00137819
9,1610.93,0.84845,0.9576,1.42013,0.76852,0.72905,0.81074,0.57199,0.97518,1.04208,1.68186,0.00133693,0.00133693,0.00133693
10,1788.1,0.83277,0.92131,1.40392,0.83871,0.79187,0.87886,0.63754,0.93552,0.857,1.62583,0.00129568,0.00129568,0.00129568
11,1969.71,0.81105,0.9069,1.38657,0.91572,0.84142,0.92403,0.67708,0.93134,0.67433,1.62468,0.00125442,0.00125442,0.00125442
12,2146.51,0.79113,0.86955,1.36952,0.91809,0.84065,0.92757,0.69146,0.90649,0.671,1.58817,0.00121316,0.00121316,0.00121316
13,2319.88,0.78323,0.86087,1.36528,0.87456,0.8456,0.91808,0.67386,0.92337,0.71259,1.60768,0.0011719,0.0011719,0.0011719
14,2491.2,0.78578,0.85417,1.36436,0.94186,0.86448,0.93567,0.71188,0.86166,0.63231,1.5156,0.00113064,0.00113064,0.00113064
15,2661.48,0.77634,0.83189,1.35429,0.89352,0.88238,0.93973,0.71183,0.88249,0.61205,1.55761,0.00108938,0.00108938,0.00108938
16,2829.49,0.76463,0.82554,1.34962,0.90577,0.86995,0.93223,0.70277,0.85653,0.66411,1.50267,0.00104813,0.00104813,0.00104813
17,3001.9,0.75285,0.80771,1.3408,0.92318,0.87824,0.93692,0.72364,0.82092,0.62468,1.50112,0.00100687,0.00100687,0.00100687
18,3170.41,0.74422,0.78307,1.33382,0.92122,0.87687,0.94097,0.73202,0.82552,0.63623,1.48711,0.00096561,0.00096561,0.00096561
19,3339.55,0.7359,0.7806,1.32656,0.9368,0.86051,0.95117,0.74741,0.78551,0.58462,1.45869,0.000924352,0.000924352,0.000924352
20,3511.26,0.73872,0.76856,1.32717,0.92199,0.9041,0.95543,0.75617,0.7731,0.56929,1.43565,0.000883093,0.000883093,0.000883093
21,3684.42,0.7235,0.75428,1.31576,0.9398,0.89566,0.95777,0.76128,0.75539,0.55269,1.41705,0.000841835,0.000841835,0.000841835
22,3857,0.71629,0.75195,1.30831,0.91506,0.90184,0.95463,0.75178,0.76819,0.56433,1.44019,0.000800577,0.000800577,0.000800577
